label,center,prediction,probability_negative,probability_positive
0,2,1,0.4056312,0.5943688
0,3,0,0.5281093,0.4718907
1,3,0,0.5193369,0.48066306
0,2,1,0.49779898,0.502201
0,3,1,0.4056312,0.5943688
0,3,1,0.4056312,0.5943688
0,2,1,0.48210838,0.5178916
1,3,0,0.51852304,0.4814769
0,2,1,0.4438544,0.5561456
1,3,1,0.3865133,0.61348677
1,3,1,0.419793,0.580207
0,3,1,0.4681967,0.5318033
0,3,1,0.44232634,0.55767363
1,3,1,0.44777584,0.5522241
0,2,1,0.46809307,0.53190696
0,3,1,0.4242412,0.5757588
1,3,1,0.4954681,0.50453186
0,3,1,0.49109873,0.5089013
0,2,1,0.4243567,0.5756433
0,3,1,0.4056312,0.5943688
0,3,1,0.43450758,0.56549245
0,3,1,0.4572936,0.54270643
0,2,0,0.5513527,0.44864732
0,3,0,0.513623,0.486377
0,3,0,0.568267,0.43173304
1,1,1,0.23775448,0.76224554
1,0,1,0.20448433,0.7955157
0,3,1,0.49462852,0.50537145
1,3,1,0.41791308,0.5820869
1,3,1,0.4056312,0.5943688
0,2,0,0.5301342,0.46986586
0,2,1,0.45516703,0.54483294
1,3,1,0.39521745,0.6047825
0,2,1,0.49800032,0.50199974
1,0,1,0.23869859,0.7613014
0,3,1,0.42399737,0.5760026
0,2,0,0.5371292,0.46287078
0,2,1,0.48494804,0.51505196
0,2,1,0.40066555,0.5993345
1,3,1,0.4056312,0.5943688
1,2,1,0.45570663,0.54429334
0,3,1,0.43979692,0.560203
0,3,1,0.4056312,0.5943688
1,3,1,0.39706457,0.60293543
0,3,0,0.53401077,0.46598923
0,3,1,0.4056312,0.5943688
0,2,1,0.428427,0.57157296
0,3,1,0.4633374,0.53666264
0,2,0,0.5130628,0.4869372
1,3,1,0.41149956,0.58850044
0,2,0,0.50855976,0.49144027
